Word,Rank,Count
the,1,9907
of,2,6986
and,3,5139
to,4,4433
in,5,2749
a,6,2193
our,7,2058
that,8,1726
we,9,1625
be,10,1460
is,11,1416
it,12,1367
for,13,1155
by,14,1066
which,15,1002
have,16,997
with,17,937
as,18,931
not,19,924
will,20,851
i,21,832
this,22,813
all,23,794
are,24,779
their,25,738
but,26,628
has,27,612
government,28,593
its,29,565
people,30,563
from,31,552
or,32,542
on,33,520
my,34,491
been,35,482
can,36,465
us,37,456
no,38,453
they,39,440
so,40,383
an,41,380
upon,42,369
who,43,361
must,44,346
at,45,341
may,46,334
great,47,331
states,48,329
world,49,329
them,50,327
should,51,323
those,52,317
shall,53,314
more,54,307
country,55,302
nation,56,302
if,57,286
every,58,285
these,59,278
any,60,276
was,61,268
other,62,256
peace,63,252
there,64,251
own,65,245
one,66,243
new,67,240
only,68,238
citizens,69,237
than,70,234
power,71,230
public,72,225
do,73,222
such,74,218
now,75,213
would,76,209
his,77,208
time,78,206
constitution,79,205
when,80,203
s,81,202
under,82,197
united,83,197
nations,84,194
america,85,192
union,86,188
me,87,186
freedom,88,183
free,89,179
you,90,178
war,91,175
most,92,172
what,93,166
national,94,154
made,95,151
let,96,149
fellow,97,148
american,98,147
men,99,144
good,100,143
were,101,139
without,102,138
spirit,103,138
well,104,137
rights,105,136
justice,106,134
years,107,134
law,108,134
life,109,133
make,110,133
had,111,130
laws,112,130
congress,113,129
before,114,127
never,115,125
into,116,123
best,117,120
each,118,119
just,119,117
liberty,120,116
duty,121,116
hope,122,115
work,123,113
right,124,113
interests,125,113
against,126,112
your,127,112
he,128,110
because,129,110
state,130,109
some,131,108
among,132,107
political,133,106
both,134,106
through,135,104
man,136,102
many,137,101
powers,138,101
foreign,139,101
know,140,100
much,141,99
god,142,98
executive,143,97
policy,144,97
long,145,96
history,146,96
between,147,95
first,148,95
part,149,95
out,150,93
principles,151,93
human,152,93
progress,153,93
within,154,93
duties,155,92
today,156,91
whole,157,90
administration,158,90
future,159,89
support,160,89
system,161,89
day,162,88
confidence,163,87
faith,164,87
common,165,87
present,166,86
far,167,86
ever,168,86
nor,169,86
over,170,86
less,171,85
too,172,85
purpose,173,84
service,174,84
same,175,83
president,176,82
necessary,177,82
yet,178,81
force,179,79
party,180,79
then,181,79
ourselves,182,78
high,183,78
way,184,78
institutions,185,76
while,186,76
interest,187,76
old,188,76
always,189,75
still,190,75
come,191,75
better,192,75
general,193,75
others,194,75
here,195,74
need,196,73
office,197,73
together,198,72
itself,199,72
being,200,72
strength,201,72
equal,202,71
federal,203,71
place,204,70
themselves,205,70
believe,206,70
means,207,70
home,208,69
land,209,69
could,210,69
even,211,69
might,212,68
where,213,68
prosperity,214,68
things,215,68
give,216,67
secure,217,67
republic,218,66
americans,219,66
given,220,66
whose,221,66
action,222,66
find,223,66
order,224,66
change,225,66
full,226,65
am,227,65
proper,228,64
up,229,63
important,230,63
take,231,63
responsibility,232,63
business,233,63
found,234,63
commerce,235,63
security,236,62
subject,237,62
self,238,62
called,239,62
again,240,62
revenue,241,61
true,242,61
trust,243,60
