,Month,Manhattan,NYC,Percentage
1,January,3178,18101,0.17557041047455943
2,February,3195,15985,0.19987488270253362
3,March,3479,18471,0.18834930431487196
4,April,3540,18331,0.19311548742567236
5,May,3432,20052,0.17115499700777978
6,June,2956,19433,0.15211238614727526
7,July,3055,19867,0.15377258770825994
8,August,2844,19678,0.14452688281329404
9,September,2744,19492,0.14077570285245228
10,October,2831,19666,0.14395403234007934
11,November,2838,19315,0.14693243593062386
12,December,2634,19214,0.13708754033517226
